"The University of Texas MD Anderson Cancer Center
Hospital Charge List",,,,
Pricing as of December 2018.,,,,
"DISCLAIMER: THIS SITE IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT AN OFFER OR REPRESENTATION OF ACTUAL PRICING FOR SERVICES; MD ANDERSON IS PROVIDING THIS INFORMATION ON AN AS-IS BASIS TO GIVE PATIENTS A GENERAL IDEA OF POTENTIAL CHARGES ASSOCIATED WITH MEDICAL CARE AND DOES NOT WARRANT THE ACCURACY, COMPLETENESS, OR USEFULNESS OF THE INFORMATION PROVIDED.  THIS INFORMATION IS NEITHER INTENDED TO BE NOR SHOULD IT BE CONSIDERED FINANCIAL OR MEDICAL ADVICE.  MD ANDERSON MAKES NO GUARANTEES REGARDING THE CHARGE INFORMATION PROVIDED ON THIS WEBSITE. THE CHARGE INFORMATION IS STRICTLY AN ESTIMATE OF CHARGES AND MD ANDERSON CANNOT GUARANTEE THE ESTIMATES BECAUSE SERVICES RENDERED TO EACH PATIENT AND THEIR COST MAY VARY BECAUSE OF TREATMENT DECISIONS, UNFORESEEN COMPLICATIONS, ADDITIONAL TESTS OR SERVICES ORDERED BY YOUR PHYSICIAN, AND THE INDIVIDUAL NEEDS OF EACH PATIENT. IN ADDITION, ESTIMATES MAY CHANGE BASED ON YOUR CONTRACTED INSURANCE BENEFITS, INSURANCE POLICY EXCLUSIONS, MAXIMUM BENEFITS, PENDING FINANCIAL ASSISTANCE, OR PENDING STATE/FEDERAL PROGRAM OR OTHER AID.",,,,
945,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - CHEMOTHERAPY - IV,96417,Infusion of different chemotherapy drug or substance into a vein up to 1 hour,$310
946,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - CHEMOTHERAPY - IV,96521,Refilling and maintenance of portable pump,$423
947,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - CHEMOTHERAPY - IV,96522,Refilling and maintenance of implantable pump or reservoir for drug delivery,$643
948,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - CHEMOTHERAPY - IV,96523,Irrigation of implanted venous access drug delivery device,$142
949,NUCLEAR MEDICINE - GENERAL CLASSIFICATION,79445,Radioactive material therapy into artery,"$2,345"
950,NUCLEAR MEDICINE - DIAGNOSTIC,38792,Injection of radioactive dye for X-ray identification of lymph node,$553
951,NUCLEAR MEDICINE - DIAGNOSTIC,78013,Nuclear medicine imaging of thyroid,"$1,042"
952,NUCLEAR MEDICINE - DIAGNOSTIC,78014,Nuclear medicine imaging for thyroid uptake measurements,"$1,722"
953,NUCLEAR MEDICINE - DIAGNOSTIC,78018,Nuclear medicine whole body study for thyroid cancer,"$1,210"
954,NUCLEAR MEDICINE - DIAGNOSTIC,78020,Nuclear medicine study for thyroid cancer,$459
955,NUCLEAR MEDICINE - DIAGNOSTIC,78072,Imaging of parathyroid with CT and nuclear medicine study,"$2,634"
956,NUCLEAR MEDICINE - DIAGNOSTIC,78075,Imaging of blood vessel of gland of kidney,"$3,325"
957,NUCLEAR MEDICINE - DIAGNOSTIC,78104,Imaging of bone marrow whole body,$596
958,NUCLEAR MEDICINE - DIAGNOSTIC,78135,Nuclear medicine study of red blood cell,$962
959,NUCLEAR MEDICINE - DIAGNOSTIC,78195,Imaging of lymphatic tissue and lymph node,"$1,538"
960,NUCLEAR MEDICINE - DIAGNOSTIC,78201,Imaging of liver,$935
961,NUCLEAR MEDICINE - DIAGNOSTIC,78205,Nuclear medicine study of liver,"$1,495"
962,NUCLEAR MEDICINE - DIAGNOSTIC,78206,Nuclear medicine study of liver with blood flow,"$1,806"
963,NUCLEAR MEDICINE - DIAGNOSTIC,78216,Imaging of liver and spleen with blood flow,$843
964,NUCLEAR MEDICINE - DIAGNOSTIC,78226,Imaging of liver and bile duct system,"$1,024"
965,NUCLEAR MEDICINE - DIAGNOSTIC,78227,Imaging of liver and bile duct system with use of drugs,"$1,024"
966,NUCLEAR MEDICINE - DIAGNOSTIC,78264,Stomach emptying study,"$1,500"
967,NUCLEAR MEDICINE - DIAGNOSTIC,78267,Nuclear medicine study of digestive tract,$326
968,NUCLEAR MEDICINE - DIAGNOSTIC,78268,Nuclear medicine study of digestive tract,$169
969,NUCLEAR MEDICINE - DIAGNOSTIC,78278,Acute digestive tract blood loss imaging,$722
970,NUCLEAR MEDICINE - DIAGNOSTIC,78290,Intestine imaging,$743
971,NUCLEAR MEDICINE - DIAGNOSTIC,78305,"Bone and/or joint imaging, multiple areas",$261
972,NUCLEAR MEDICINE - DIAGNOSTIC,78306,"Bone and/or joint imaging, whole body","$1,290"
973,NUCLEAR MEDICINE - DIAGNOSTIC,78315,"Bone and/or joint imaging, 3 phase study","$1,027"
974,NUCLEAR MEDICINE - DIAGNOSTIC,78320,Nuclear medicine study of bone and/or joint,"$1,632"
975,NUCLEAR MEDICINE - DIAGNOSTIC,78445,Non-cardiac vascular flow imaging,"$1,046"
976,NUCLEAR MEDICINE - DIAGNOSTIC,78451,Nuclear medicine study of vessels of heart using drugs or exercise single study,"$2,500"
977,NUCLEAR MEDICINE - DIAGNOSTIC,78452,Nuclear medicine study of vessels of heart using drugs or exercise multiple studies,"$2,500"
978,NUCLEAR MEDICINE - DIAGNOSTIC,78457,"Venography for blood clot in vein, one leg or arm",$384
979,NUCLEAR MEDICINE - DIAGNOSTIC,78458,"Venography for blood clot in veins, both legs or arms","$1,035"
980,NUCLEAR MEDICINE - DIAGNOSTIC,78472,"Nuclear medicine study of heart wall motion at rest or stress with evaluation of blood ejection from heart, single study","$1,429"
981,NUCLEAR MEDICINE - DIAGNOSTIC,78580,Nuclear medicine study of blood circulation in the lungs,$634
982,NUCLEAR MEDICINE - DIAGNOSTIC,78582,Nuclear medicine study of lung ventilation and blood circulation in the lungs,"$2,438"
983,NUCLEAR MEDICINE - DIAGNOSTIC,78597,Nuclear medicine study with measurement of blood circulation in the lungs,$629
984,NUCLEAR MEDICINE - DIAGNOSTIC,78598,Nuclear medicine study with measurement of blood circulation in the lungs and ventilation,"$2,438"
985,NUCLEAR MEDICINE - DIAGNOSTIC,78630,Imaging of brain and spinal cord fluid flow at base of brain,"$1,577"
986,NUCLEAR MEDICINE - DIAGNOSTIC,78645,Imaging of brain and spinal cord fluid flow shunt evaluation,"$1,478"
987,NUCLEAR MEDICINE - DIAGNOSTIC,78647,Nuclear medicine study of brain and spinal cord fluid flow,"$1,820"
988,NUCLEAR MEDICINE - DIAGNOSTIC,78707,Nuclear medicine study of kidney with assessment of blood flow and function,"$1,130"
989,NUCLEAR MEDICINE - DIAGNOSTIC,78708,Nuclear medicine study of kidney with assessment of blood flow and function,"$1,422"
990,NUCLEAR MEDICINE - DIAGNOSTIC,78709,Nuclear medicine study of kidney with assessment of blood flow and function,"$1,693"
991,NUCLEAR MEDICINE - DIAGNOSTIC,78725,Nuclear medicine kidney function study,$141
992,NUCLEAR MEDICINE - DIAGNOSTIC,78800,Nuclear medicine study of radioactive material distribution at tumor location,$989
993,NUCLEAR MEDICINE - DIAGNOSTIC,78802,"Nuclear medicine study of radioactive material distribution at tumor locations in whole body, single day imaging","$1,051"
994,NUCLEAR MEDICINE - DIAGNOSTIC,78803,Nuclear medicine study of radioactive material distribution,"$2,168"
995,NUCLEAR MEDICINE - DIAGNOSTIC,78804,"Nuclear medicine study of radioactive material distribution of whole body, requiring 2 or more days imaging","$2,665"
996,NUCLEAR MEDICINE - DIAGNOSTIC,78806,Nuclear medicine study of radioactive material distribution at sites of inflammation in whole body,"$1,427"
997,NUCLEAR MEDICINE - DIAGNOSTIC,78808,Injection of radioactive contrast material into a vein for non-imaging gamma probe,$561
998,NUCLEAR MEDICINE - THERAPEUTIC,79005,Oral administration of radioactive material therapy agent,"$1,339"
999,NUCLEAR MEDICINE - THERAPEUTIC,79101,Radioactive material therapy into vein,$907
1000,NUCLEAR MEDICINE - THERAPEUTIC,79403,Radioactive material therapy into vein,"$1,141"
1001,CT SCAN - GENERAL CLASSIFICATION,71275,CT scan of blood vessels in chest with contrast,"$3,350"
1002,CT SCAN - GENERAL CLASSIFICATION,72127,CT scan of upper spine before and after contrast,"$3,185"
1003,CT SCAN - GENERAL CLASSIFICATION,72191,CT scan of pelvic blood vessels with contrast,"$3,412"
1004,CT SCAN - GENERAL CLASSIFICATION,74175,CT scan of abdominal blood vessels with contrast,"$3,509"
1005,CT SCAN - GENERAL CLASSIFICATION,75574,CT scan of heart blood vessels and grafts with contrast dye,"$3,027"
1006,CT SCAN - GENERAL CLASSIFICATION,76380,CT scan limited or follow-up study,$826
1007,CT SCAN - GENERAL CLASSIFICATION,77011,CT scan guidance for stereotactic localization,"$2,150"
1008,CT SCAN - GENERAL CLASSIFICATION,77012,Radiological supervision and interpretation of CT guidance for needle insertion,"$1,794"
1009,CT SCAN - GENERAL CLASSIFICATION,77013,CT scan guidance for and monitoring of tissue destruction,"$1,566"
1010,CT SCAN - GENERAL CLASSIFICATION,99999,#N/A,"$4,965"
1011,CT SCAN - GENERAL CLASSIFICATION,G0297,Ldct for lung ca screen,"$1,393"
1012,CT SCAN - HEAD SCAN,0042T,"Computed tomography (CT) of brain blood flow, volume, and timing of flow analysis with contrast","$2,779"
1013,CT SCAN - HEAD SCAN,70450,CT scan head or brain,"$1,577"
1014,CT SCAN - HEAD SCAN,70460,CT scan head or brain with contrast,"$2,766"
1015,CT SCAN - HEAD SCAN,70470,CT scan head or brain before and after contrast,"$2,804"
1016,CT SCAN - HEAD SCAN,70480,CT scan of cranial cavity,"$2,611"
1017,CT SCAN - HEAD SCAN,70481,CT scan of cranial cavity with contrast,"$2,661"
1018,CT SCAN - HEAD SCAN,70486,CT scan of face,"$2,374"
1019,CT SCAN - HEAD SCAN,70487,CT scan of face with contrast,"$3,007"
1020,CT SCAN - HEAD SCAN,70488,CT scan of face before and after contrast,"$3,173"
1021,CT SCAN - HEAD SCAN,70490,CT scan of neck,"$2,553"
1022,CT SCAN - HEAD SCAN,70491,CT scan of neck with contrast,"$3,006"
1023,CT SCAN - HEAD SCAN,70492,CT scan of neck before and after contrast,"$3,068"
1024,CT SCAN - HEAD SCAN,70496,CT scan of blood vessel of head with contrast,"$3,304"
1025,CT SCAN - HEAD SCAN,70498,CT scan of neck blood vessels with contrast,"$3,192"
1026,CT SCAN - BODY SCAN,71250,CT scan chest,"$2,647"
1027,CT SCAN - BODY SCAN,71260,CT scan chest with contrast,"$3,344"
1028,CT SCAN - BODY SCAN,71270,CT scan chest before and after contrast,"$3,407"
1029,CT SCAN - BODY SCAN,72125,CT scan of upper spine,"$2,655"
1030,CT SCAN - BODY SCAN,72126,CT scan of upper spine with contrast,"$2,921"
1031,CT SCAN - BODY SCAN,72128,CT scan of middle spine,"$2,656"
1032,CT SCAN - BODY SCAN,72129,CT scan of middle spine with contrast,"$3,027"
1033,CT SCAN - BODY SCAN,72130,CT scan of middle spine before and after contrast,"$3,185"
1034,CT SCAN - BODY SCAN,72131,CT scan of lower spine,"$2,656"
1035,CT SCAN - BODY SCAN,72132,CT scan of lower spine with contrast,"$3,027"
1036,CT SCAN - BODY SCAN,72192,CT scan pelvis,"$2,365"
1037,CT SCAN - BODY SCAN,72193,CT scan pelvis with contrast,"$2,811"
1038,CT SCAN - BODY SCAN,72194,CT scan of pelvis before and after contrast,"$2,904"
1039,CT SCAN - BODY SCAN,73200,CT scan of arm,"$2,288"
1040,CT SCAN - BODY SCAN,73201,CT scan of arm with contrast,"$2,435"
1041,CT SCAN - BODY SCAN,73202,CT scan of arm before and after contrast,"$2,553"
1042,CT SCAN - BODY SCAN,73206,CT scan of arm blood vessels with contrast,"$2,316"
1043,CT SCAN - BODY SCAN,73700,CT scan leg,"$2,147"
1044,CT SCAN - BODY SCAN,73701,CT scan leg with contrast injection,"$2,473"
1045,CT SCAN - BODY SCAN,73702,CT scan of leg before and after contrast injection,"$2,583"
1046,CT SCAN - BODY SCAN,73706,CT scan of lower leg blood vessels with contrast,"$2,545"
1047,CT SCAN - BODY SCAN,74150,CT scan abdomen,"$2,227"
1048,CT SCAN - BODY SCAN,74160,CT scan abdomen with contrast,"$3,280"
1049,CT SCAN - BODY SCAN,74170,CT scan abdomen before and after contrast,"$3,607"
1050,CT SCAN - BODY SCAN,74176,CT scan of abdomen and pelvis,"$4,554"
1051,CT SCAN - BODY SCAN,74177,CT scan of abdomen and pelvis with contrast,"$6,043"
1052,CT SCAN - BODY SCAN,74178,CT scan of abdomen and pelvis before and after contrast,"$6,454"
1053,CT SCAN - BODY SCAN,74261,Diagnostic CT scan of large bowel,"$2,086"
1054,CT SCAN - BODY SCAN,74262,Diagnostic CT scan of large bowel with contrast dye,"$2,256"
1055,CT SCAN - BODY SCAN,74263,Screening CT scan of large bowel,"$2,086"
1056,CT SCAN - BODY SCAN,75635,CT scan of abdominal aorta and both leg arteries with contrast,"$5,835"
1057,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION,BLANK,HC OR 1 HR,"$4,924"
1058,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION,BLANK,HC OR EACH 1/2 HR 1.5-8,"$1,645"
1059,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION,BLANK,HC OR EACH 1/2 HR 8.5-24,$978
1060,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION,BLANK,HC OR INTRAOP BRAIN STE 1 HR,"$35,076"
1061,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION,BLANK,HC OR INTRAOP BRAIN STE EACH 1/2 HR 1.5-8,"$1,691"
1062,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION,BLANK,HC OR INTRAOP BRAIN STE EACH 1/2 HR 8.5-24,$947
1063,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION,BLANK,HC OR IOCT 1 HR,"$27,658"
1064,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION,BLANK,HC OR IOCT EACH 1/2 HR 1.5-8,"$1,691"
1065,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION,BLANK,HC OR IOCT EACH 1/2 HR 8.5-24,$947
1066,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION,BLANK,HC OR ROBOTIC ROOM STE 1 HR,"$10,550"
1067,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION,BLANK,HC OR ROBOTIC ROOM STE EACH 1/2 HR 1.5-8,"$1,691"
1068,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION,BLANK,HC OR ROBOTIC ROOM STE EACH 1/2 HR 8.5-24,$947
1069,OPERATING ROOM SERVICES - MINOR SURGERY,0200T,"Injections of one side of sacrum for enlargement, 1 or more needles, accessed through the skin","$6,870"
1070,OPERATING ROOM SERVICES - MINOR SURGERY,0230T,Injections of anesthetic agent and/or steroid into lower or sacral spinal canal using ultrasound guidance,"$3,546"
1071,OPERATING ROOM SERVICES - MINOR SURGERY,0231T,Injections of anesthetic agent and/or steroid into lower or sacral spinal canal using ultrasound guidance,"$1,260"
1072,OPERATING ROOM SERVICES - MINOR SURGERY,10035,"Placement of soft tissue localization device accessed through the skin with imaging guidance, first lesion","$5,471"
1073,OPERATING ROOM SERVICES - MINOR SURGERY,10036,Placement of soft tissue localization device accessed through the skin with imaging guidance,"$5,349"
1074,OPERATING ROOM SERVICES - MINOR SURGERY,17999,"Skin, mucus membrane and beneath the skin procedure","$6,671"
1075,OPERATING ROOM SERVICES - MINOR SURGERY,19101,"Biopsy of breast, open procedure","$4,469"
1076,OPERATING ROOM SERVICES - MINOR SURGERY,19328,Removal of intact breast implant,"$7,150"
1077,OPERATING ROOM SERVICES - MINOR SURGERY,20615,Aspiration and injection treatment of bone cyst,"$2,345"
1078,OPERATING ROOM SERVICES - MINOR SURGERY,20982,Destruction of 1 or more bone growths accessed through the skin,"$6,213"
1079,OPERATING ROOM SERVICES - MINOR SURGERY,20999,Muscle and bone procedure,"$10,148"
1080,OPERATING ROOM SERVICES - MINOR SURGERY,24999,Upper arm and elbow procedure,"$4,142"
1081,OPERATING ROOM SERVICES - MINOR SURGERY,27048,Removal (less than 5 centimeters) muscle growth of pelvis or hip,"$9,054"
1082,OPERATING ROOM SERVICES - MINOR SURGERY,27096,Injection procedure into sacroiliac joint for anesthetic or steroid,"$1,919"
1083,OPERATING ROOM SERVICES - MINOR SURGERY,27216,"Insertion of hardware to broken and/or dislocated bone on one side of pelvis, accessed through the skin","$10,919"
1084,OPERATING ROOM SERVICES - MINOR SURGERY,27299,Pelvis or hip joint procedure,"$5,916"
1085,OPERATING ROOM SERVICES - MINOR SURGERY,27509,"Insertion of hardware to stabilize broken thigh bone or separated growth plate, accessed through the skin","$8,653"
1086,OPERATING ROOM SERVICES - MINOR SURGERY,27599,Thigh or knee procedure,"$4,142"
1087,OPERATING ROOM SERVICES - MINOR SURGERY,28190,"Removal of foreign body of foot tissue, accessed beneath the skin","$1,745"
1088,OPERATING ROOM SERVICES - MINOR SURGERY,31231,Diagnostic examination of nasal passages using an endoscope,$510
1089,OPERATING ROOM SERVICES - MINOR SURGERY,31237,Biopsy or removal of nasal polyp or tissue using an endoscope,"$4,450"
1090,OPERATING ROOM SERVICES - MINOR SURGERY,31500,Emergent insertion of breathing tube into windpipe cartilage using an endoscope,$554
1091,OPERATING ROOM SERVICES - MINOR SURGERY,31502,Change of breathing tube of windpipe in neck,$771
1092,OPERATING ROOM SERVICES - MINOR SURGERY,31570,Injection of vocal cords using an endoscope,"$3,295"
1093,OPERATING ROOM SERVICES - MINOR SURGERY,31575,Diagnostic examination of voice box using flexible endoscope,$521
1094,OPERATING ROOM SERVICES - MINOR SURGERY,31579,Examination to assess movement of vocal cord flaps using an endoscope,"$1,523"
1095,OPERATING ROOM SERVICES - MINOR SURGERY,31611,Creation of opening of windpipe and with insertion of speech prosthesis,"$3,979"
1096,OPERATING ROOM SERVICES - MINOR SURGERY,31622,Diagnostic examination of lung airways using an endoscope,"$2,569"
1097,OPERATING ROOM SERVICES - MINOR SURGERY,31623,Examination of lung airways using an endoscope,"$2,569"
1098,OPERATING ROOM SERVICES - MINOR SURGERY,31624,Irrigation and suction of lung airways to obtain cells using an endoscope,"$2,569"
1099,OPERATING ROOM SERVICES - MINOR SURGERY,31625,Biopsy of lung airways using an endoscope,"$2,569"
1100,OPERATING ROOM SERVICES - MINOR SURGERY,31627,Computer-assisted image-guided navigation of lung airways using an endoscope,"$2,546"
1101,OPERATING ROOM SERVICES - MINOR SURGERY,31628,Biopsy of one lobe of lung using an endoscope,"$2,955"
1102,OPERATING ROOM SERVICES - MINOR SURGERY,31629,"Needle biopsy of windpipe cartilage, airway, and/or lung using an endoscope","$3,202"
1103,OPERATING ROOM SERVICES - MINOR SURGERY,31630,Treatment of windpipe cartilage fracture or dilation of windpipe cartilage using an endoscope,"$7,278"
1104,OPERATING ROOM SERVICES - MINOR SURGERY,31631,Insertion of stents into windpipe using an endoscope,"$5,123"
1105,OPERATING ROOM SERVICES - MINOR SURGERY,31632,Biopsy of lung using an endoscope,"$2,473"
1106,OPERATING ROOM SERVICES - MINOR SURGERY,31634,Examination of lung airways with repair of air leak using an endoscope,"$2,720"
1107,OPERATING ROOM SERVICES - MINOR SURGERY,31635,Removal of foreign body in lung airways using an endoscope,"$2,569"
1108,OPERATING ROOM SERVICES - MINOR SURGERY,31636,Insertion of stents in lung airways using an endoscope,"$6,948"
1109,OPERATING ROOM SERVICES - MINOR SURGERY,31637,Insertion of stent in lung airways using an endoscope,"$1,853"
1110,OPERATING ROOM SERVICES - MINOR SURGERY,31638,Revision of previously inserted stent in lung airways using an endoscope,"$4,489"
1111,OPERATING ROOM SERVICES - MINOR SURGERY,31640,Removal of growth in lung airways using an endoscope,"$3,522"
1112,OPERATING ROOM SERVICES - MINOR SURGERY,31641,Destruction of growth or narrowing of lung airway using an endoscope,"$3,522"
1113,OPERATING ROOM SERVICES - MINOR SURGERY,31643,Insertion of catheters for radiation delivery in lung airway using an endoscope,"$2,337"
1114,OPERATING ROOM SERVICES - MINOR SURGERY,31645,Aspiration of lung secretions from lung airways using an endoscope,"$1,934"
1115,OPERATING ROOM SERVICES - MINOR SURGERY,31647,"Assessment of air leak, airway sizing, and insertion of bronchial valves in lung airways using an endoscope","$5,706"
1116,OPERATING ROOM SERVICES - MINOR SURGERY,31648,Removal of bronchial valves in lung airways using an endoscope,"$2,569"
1117,OPERATING ROOM SERVICES - MINOR SURGERY,31649,Removal of bronchial valves in lung airways using an endoscope,"$1,853"
1118,OPERATING ROOM SERVICES - MINOR SURGERY,31651,"Assessment of air leak, airway sizing, and insertion of bronchial valves in lung airways using an endoscope","$1,853"
1119,OPERATING ROOM SERVICES - MINOR SURGERY,31720,Insertion of catheter for suction of secretions,$249
1120,OPERATING ROOM SERVICES - MINOR SURGERY,32400,"Needle biopsy of lining of lung, accessed through the skin","$2,551"
1121,OPERATING ROOM SERVICES - MINOR SURGERY,32405,"Needle biopsy of lung or chest tissue, accessed through the skin","$3,068"
1122,OPERATING ROOM SERVICES - MINOR SURGERY,32552,Removal of tunneled catheter in lung lining,$348
1123,OPERATING ROOM SERVICES - MINOR SURGERY,32556,"Removal of fluid from chest cavity with insertion of indwelling catheter, accessed through the skin","$3,143"
1124,OPERATING ROOM SERVICES - MINOR SURGERY,32557,"Removal of fluid from chest cavity with insertion of indwelling catheter and imaging guidance, accessed through the skin","$4,086"
1125,OPERATING ROOM SERVICES - MINOR SURGERY,32560,Catheter instillation of agent onto lung surface,$672
1126,OPERATING ROOM SERVICES - MINOR SURGERY,32601,"Diagnostic examination of lungs, heart sac, mid-chest cavity, or lung lining using an endoscope","$6,141"
1127,OPERATING ROOM SERVICES - MINOR SURGERY,32608,Biopsy of growths in one lung using an endoscope,"$7,638"
1128,OPERATING ROOM SERVICES - MINOR SURGERY,32609,Biopsy of lung lining using an endoscope,"$7,638"
1129,OPERATING ROOM SERVICES - MINOR SURGERY,32650,Adhesion of the lung linings using an endoscope,"$7,701"
1130,OPERATING ROOM SERVICES - MINOR SURGERY,32994,"Destruction of growths in one lung, accessed through the skin","$13,650"
1131,OPERATING ROOM SERVICES - MINOR SURGERY,32998,"Destruction of growths in one lung, accessed through the skin","$14,050"
1132,OPERATING ROOM SERVICES - MINOR SURGERY,33010,Aspiration of fluid from sac that covers the heart,"$2,343"
1133,OPERATING ROOM SERVICES - MINOR SURGERY,33011,Aspiration of fluid from sac that covers the heart,$589
1134,OPERATING ROOM SERVICES - MINOR SURGERY,33015,Insertion of catheter for drainage into sac that covers the heart,"$2,232"
1135,OPERATING ROOM SERVICES - MINOR SURGERY,33206,Insertion or replacement of permanent pacemaker and upper chamber electrodes,"$20,412"
1136,OPERATING ROOM SERVICES - MINOR SURGERY,33207,Insertion or replacement of permanent pacemaker and lower chamber electrodes,"$12,642"
1137,OPERATING ROOM SERVICES - MINOR SURGERY,33208,Insertion of new or replacement of permanent pacemaker including upper and lower chamber electrodes,"$16,824"
1138,OPERATING ROOM SERVICES - MINOR SURGERY,33210,Placement of temporary pacemaker leads,"$6,671"
1139,OPERATING ROOM SERVICES - MINOR SURGERY,33213,Insertion of pacemaker pulse generator with existing dual leads,"$20,156"
1140,OPERATING ROOM SERVICES - MINOR SURGERY,33215,Repositioning of implanted pacemaker or defibrillator device,"$5,246"
1141,OPERATING ROOM SERVICES - MINOR SURGERY,33222,Relocation of pacemaker generator skin pocket,"$3,401"
1142,OPERATING ROOM SERVICES - MINOR SURGERY,33223,Relocation of defibrillator device skin pocket,"$4,307"
