"The University of Texas MD Anderson Cancer Center
Professional Charge List",,,,
Pricing as of December 2018.,,,,
"DISCLAIMER: THIS SITE IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT AN OFFER OR REPRESENTATION OF ACTUAL PRICING FOR SERVICES; MD ANDERSON IS PROVIDING THIS INFORMATION ON AN AS-IS BASIS TO GIVE PATIENTS A GENERAL IDEA OF POTENTIAL CHARGES ASSOCIATED WITH MEDICAL CARE AND DOES NOT WARRANT THE ACCURACY, COMPLETENESS, OR USEFULNESS OF THE INFORMATION PROVIDED.  THIS INFORMATION IS NEITHER INTENDED TO BE NOR SHOULD IT BE CONSIDERED FINANCIAL OR MEDICAL ADVICE.  MD ANDERSON MAKES NO GUARANTEES REGARDING THE CHARGE INFORMATION PROVIDED ON THIS WEBSITE. THE CHARGE INFORMATION IS STRICTLY AN ESTIMATE OF CHARGES AND MD ANDERSON CANNOT GUARANTEE THE ESTIMATES BECAUSE SERVICES RENDERED TO EACH PATIENT AND THEIR COST MAY VARY BECAUSE OF TREATMENT DECISIONS, UNFORESEEN COMPLICATIONS, ADDITIONAL TESTS OR SERVICES ORDERED BY YOUR PHYSICIAN, AND THE INDIVIDUAL NEEDS OF EACH PATIENT. IN ADDITION, ESTIMATES MAY CHANGE BASED ON YOUR CONTRACTED INSURANCE BENEFITS, INSURANCE POLICY EXCLUSIONS, MAXIMUM BENEFITS, PENDING FINANCIAL ASSISTANCE, OR PENDING STATE/FEDERAL PROGRAM OR OTHER AID.",,,,
1157,38564,"PR REMOVAL, ABDOMEN LYMPH NODE,STAGING","$8,302.00",
1158,38570,"PR LAP,LYMPH NODE BX","$7,906.00",
1159,38571,"PR LAP,PELVIC LYMPHADENECTOMY","$8,464.00",
1160,38572,"PR LAP,PELVIC LYMPHADENECTOMY/BX","$9,454.00",
1161,38573,PR LAPS W/BI TOT PEL LMPHADEC & OMNTC LYMPH BX,"$8,998.00",
1162,38589,PB UNLISTED LAPAROSCOPY PX LYMPHATIC SYSTEM ,$1665-$13592,
1163,38700,"PR REMOVAL NODES, NECK,SUPRAHYOID","$5,861.00",
1164,38720,"PR REMOVAL NODES, NECK,CERV CMPLT","$10,696.00",
1165,38724,"PR REMOVAL NODES, NECK,CERV MOD RAD","$11,721.00",
1166,38740,PR REMOVE ARMPIT LYMPH NODES SUPERFIC,"$3,721.00",
1167,38745,PR REMOVE ARMPITS LYMPH NODES COMPLT,"$6,710.00",
1168,38746,PR REMOVE THOR LYMPH NODES RAD REGNL,"$2,372.00",
1169,38747,PR REMOVE ABD LYMPH NODES RAD REGNL,"$2,804.00",
1170,38760,PR REMOVE GROIN LYMPH NODES SUPERF,"$4,976.00",
1171,38765,PR REMOVE GROIN LYMPH NODES,"$10,000.00",
1172,38770,PR REMOVE PELVIS LYMPH NODES,"$8,464.00",
1173,38780,PR REMOVE ABD LYMPH NODES EXTENSIVE,"$13,952.00",
1174,38790,PR INJECTION FOR LYMPHATIC XRAY,"$1,764.00",
1175,38792,PR IDENTIFY SENTINEL NODE,"$1,395.00",
1176,38900,PR INTRAOPERATIVE SENTINEL LYMPH NODE ID W DYE INJECTION,"$1,422.00",
1177,38999,PB UNLISTED PROCEDURE HEMIC OR LYMPHATIC SYSTEM ,$265-$9125,
1178,39000,"PR MEDIASTINOSCOPY, CERV APPROACH","$4,000.00",
1179,39010,"PR MEDIASTINOTOMY, CHST APPROACH","$8,278.00",
1180,39220,PR EXC MEDIASTINAL TUMOR,"$10,231.00",
1181,39401,PR MEDIASTINOSCOPY INCLUDES MEDIASTINAL MASS BIOPSY,"$2,380.00",
1182,39402,PR MEDIASTINOSCOPY WITH LYMPH NODE BIOPSY/IES,"$3,173.00",
1183,39501,PR REPAIR DIAPHRAGM LACERATION,"$8,371.00",
1184,39540,PR REPAIR DIAPHR HERNIA TRAUMA ACUTE,"$10,603.00",
1185,39541,PR REPAIR DIAPHR HERNIA TRAUMA CHR,"$6,482.67",
1186,39545,PR REVISION OF DIAPHRAGM,"$10,231.00",
1187,39560,"PR RESECT DIAPHRAM,SIMPLE REPAIR","$3,760.00",
1188,39561,"PR RESECT DIAPHRAM,COMPLX REPR","$5,559.83",
1189,39599,PB UNLISTED PROCEDURE DIAPHRAGM,$3760-$10603,
1190,40490,PR BIOPSY OF LIP,$343.00,
1191,40510,"PR PARTIAL EXCIS LIP,WEDGE PRIM CLOS","$2,756.00",
1192,40520,"PR PARTIAL EXCIS LIP,V-EXC PRIM CLOS","$2,530.00",
1193,40525,"PR FULL THICK EXCIS LIP,RECON W FLAP","$5,241.00",
1194,40527,"PR FULL THICK EXCIS LIP,FIX W XFLAP","$5,180.00",
1195,40530,"PR PARTIAL REMOVAL OF LIP,>1/4","$2,205.00",
1196,40650,"PR REPAIR LIP,FULL THICK,VERMILION","$1,378.00",
1197,40654,"PR REPAIR LIP,>1/2 VERT HEIGHT","$2,597.00",
1198,40761,"PR RECLEFT LIP/NASAL,XLIP PED GRFT","$7,273.00",
1199,40805,"PR REMOVAL FOREIGN BODY,MOUTH,COMPLEX","$1,323.00",
1200,40808,PR BIOPSY OF MOUTH LESION,$499.00,
1201,40810,"PR EXCIS MOUTH MUCOSA/SUB,NO REPAIR",$551.00,
1202,40812,"PR EXCIS MOUTH MUCOSA/SUB,SIMPL REPAIR",$777.00,
1203,40814,"PR EXCIS MOUTH MUCOSA/SUB,COMPLX REPR","$1,653.00",
1204,40816,"PR EXCIS MOUTH COMPLEX,EXC THRU MUSCLE","$2,267.00",
1205,40820,PR DESTRUC MOUTH LESION/SCAR,"$1,590.00",
1206,40899,PB UNLISTED PROCEDURE VESTIBULE MOUTH ,"$1,590.00",
1207,41019,PR PLACEMENT NEEDLE HEAD/NECK RADIOELEMENT APPLICAT,"$3,789.00",
1208,41100,"PR BIOPSY TONGUE,ANTER 2/3",$624.00,
1209,41105,"PR BIOPSY TONGUE,POSTER 1/3",$596.00,
1210,41108,PR BIOPSY OF FLOOR OF MOUTH,$460.00,
1211,41110,PR EXCIS TONGUE LESN,$537.00,
1212,41112,"PR EXCIS TONGUE LESN,ANT 2/3+CLOS","$1,310.00",
1213,41113,"PR EXCIS TONGUE LESN,POST 1/3","$1,549.00",
1214,41115,PR EXCIS TONGUE FOLD,$953.00,
1215,41116,PR EXCIS FLOOR MOUTH LESION,"$1,787.00",
1216,41120,"PR PART REMOVAL TONGUE,<1/2","$3,620.00",
1217,41130,"PR PART REMOVAL TONGUE, 1/2","$5,504.00",
1218,41140,PR REMOVAL OF TONGUE,"$8,092.31",
1219,41145,"PR EXCIS TONGUE,UNILAT RAD NECK","$10,124.00",
1220,41150,"PR EXCIS TONGUE,MOUTH,JAW","$9,693.00",
1221,41153,"PR EXCIS TONGUE,MOUTH,NECK","$10,956.41",
1222,41599,PB UNLISTED PROCEDURE TONGUE FLOOR MOUTH ,$505-$9200,
1223,41805,"PR REMOVAL FOREIGN BODY, GUM",$537.00,
1224,41825,PR EXCIS DENTOALVEOLAR LESION,$596.00,
1225,41826,"PR EXCIS DENTOALV LESN,SIMPL REPR","$1,043.00",
1226,41827,"PR EXCIS DENTOALV LESN,COMPLX REPR","$1,639.00",
1227,41828,PR EXCISION OF GUM LESION,"$1,727.00",
1228,41830,"PR ALVEOLECTOMY, INCLUDING CURETTAGE OF OSTEITIS OR SEQUESTRECTOMY","$1,661.00",
1229,41850,PR TREATMENT OF GUM LESION,$596.00,
1230,41874,PR REPAIR TOOTH SOCKET,"$1,381.00",
1231,41899,PB UNLISTED PROCEDURE DENTOALVEOLAR STRUCTURES,$90-$5729,
1232,42100,PR BIOPSY PALATE/UVULA,$670.00,
1233,42104,"PR EXCIS LESN,PALATE/UVULA",$864.00,
1234,42106,"PR EXCIS LESN,PALATE/UVULA-SIMPL CLOS","$1,102.00",
1235,42107,"PR EXCIS LESN,PALETE/UVULA-FLAP CLOS","$2,462.00",
1236,42120,PR REMOVE PALATE/LESION,"$3,156.00",
1237,42145,PR PALATOPHAYNGOPLASTY,"$5,390.00",
1238,42160,PR DESTRUC LESN PALATE/UVULA,$578.00,
1239,42200,"PR RECONST CLEFT PALATE,SOFT/HARD","$6,968.00",
1240,42300,"PR DRAIN ABSCESS PAROTID,SIMPLE",$450.00,
1241,42340,PR REMOVAL PAROTID STONE,"$2,979.00",
1242,42400,"PR BIOPSY SALIVARY GLAND,NEEDLE",$555.00,
1243,42405,"PR BIOPSY SALIVARY GLAND,INCISIONAL",$938.00,
1244,42409,PR DRAINAGE SUBLING SALIVARY CYST,"$1,489.00",
1245,42410,"PR EXC PAROTD LESN,LATER LOBE","$2,572.00",
1246,42415,"PR EXC PAROTD,LAT LOBE,DISSECT AND PRESERVATION OF FACIAL NERVE","$5,688.00",
1247,42420,"PR EXC PAROTD,TOTAL,DISSECT AND PRESERVATION OF FACIAL NERVE","$6,254.00",
1248,42425,"PR EXC PAROTD,TOTAL,SACRIFICE 5TH NERV","$4,169.00",
1249,42440,PR EXCISION SUBMAXILLARY GLAND,"$4,556.00",
1250,42450,PR EXCISION SUBLINGUAL GLAND,"$2,085.00",
1251,42500,PR REPAIR SALIVARY DUCT SIMPLE,"$2,383.00",
1252,42505,PR REPAIR SALIVARY DUCT COMPLICATED,"$3,573.00",
1253,42699,PB UNLISTED PX SALIVARY GLANDS/DUCTS ,$300-$5579,
1254,42699,SIALOLITHTOMY; SUBMANDIBULAR (SUBMAXILLARY),"$3,261.00",
1255,42725,"PR INC/DRAIN RETROPHARYNG ABSCESS,EXT","$2,779.00",
1256,42800,PR BIOPSY OROPHARYNX,$439.00,
1257,42804,"PR BIOPSY NASOPHARYNX,SIMPLE",$488.00,
1258,42808,PR EXCISE PHARYNX LESION,"$1,766.00",
1259,42815,"PR EXCISION BRANC CLFT CYST,DEEP","$2,937.00",
1260,42821,"PR REMOVE TONSILS/ADENOIDS,12+ Y/O","$1,597.00",
1261,42826,"PR REMOVAL OF TONSILS,12+ Y/O","$1,520.00",
1262,42842,PR RAD RESEC TONSIL/PILLARS,"$7,304.00",
1263,42844,"PR RAD RESEC TONSIL/PILLARS,CLOS LOCAL","$9,275.00",
1264,42860,PR EXCISION OF TONSIL TAGS,$928.00,
1265,42870,PR EXCISION OF LINGUAL TONSIL,"$1,546.00",
1266,42890,PR PARTIAL REMOVAL OF PHARYNX,"$3,691.70",
1267,42892,PR RESEC LAT PHARYN WALL/PYRIFRM SIN,"$4,483.00",
1268,42894,"PR RESEC PHARYN WALL,CLOS MYOCUT FLAP","$10,835.90",
1269,42900,PR SUTURE INJURY/WND PHARYNX,"$1,805.00",
1270,42953,"PR REPAIR THROAT, ESOPHAGUS","$4,888.00",
1271,42960,"PR CONTROL THROAT BLEED,SIMPLE",$650.00,
1272,42970,"PR CNTRL NASOPHAR BLEED,SIMPLE,W/POST PACKS","$1,026.00",
1273,42999,PB UNLISTED PROCEDURE PHARYNX ADENOIDS/TONSILS ,$2466-$5712,
1274,43030,PR CRICOPHAYNGEAL MYOTOMY,"$3,196.00",
1275,43045,"PR INCIS ESOPHAGUS,FOREIGN BODY,THORAX","$4,473.00",
1276,43100,"PR EXCIS ESOPHAGUS LESN,CERV APPROACH","$3,424.00",
1277,43101,"PR EXCIS ESOPHAGUS LESN,THOR APPROACH","$4,568.00",
1278,43107,"PR REMOVAL ESOPHAGUS,NO THORACOTOMY","$18,734.00",
1279,43112,PR TOTAL ESOPHAGECTOMY W/THORCOM W/WO PYLORPLASTY,"$22,316.00",
1280,43117,"PR PART REMOV ESOPHAGUS,LOWER 2/3","$20,696.00",
1281,43121,"PR PART REMOV ESOPH,LOWER,THORACOTOMY","$18,511.00",
1282,43124,"PR REMOVAL OF ESOPHAGUS,NO RECONSTRUC","$8,725.72",
1283,43130,"PR REMOV ESOPHAG DIVERTIC,CERV APPRCH","$3,887.00",
1284,43135,"PR REMOV ESOPHAG DIVERTIC,THOR APPRCH","$4,450.00",
1285,43180,PR ESOPHAGOSCP RIG TRANSORAL HYPOPHARYNX CRV ESOPH,"$3,892.00",
1286,43191,PR ESOPHAGOSCOPY RIGID TRANSORAL DIAGNOSTIC BRUSH,$846.00,
1287,43193,PR ESOPHAGOSCOPY RIGID TRANSORAL WITH BIOPSY,"$1,269.00",
1288,43196,PR ESOPHAGOSCOPY RIG TRANSORAL GUIDE WIRE DILATION,"$1,396.00",
1289,43198,PR ESOPHAGOSCOPY FLEXIBLE TRANSNASAL WITH BIOPSY,$753.00,
1290,43200,PR ESOPHAGOSCOPY FLEXIBLE TRANSORAL DIAGNOSTIC,"$1,270.00",
1291,43202,PR ESOPHAGOSCOPY FLEXIBLE TRANSORAL WITH BIOPSY,"$1,614.00",
1292,43204,PR ESOPHAGOSCOPY FLEX TRANSORAL INJECTION VARICES,"$1,507.00",
1293,43205,PR ESPHGOSCOPY FLEX W/BAND LIGATION ESOPHGL VARICES,"$1,507.00",
1294,43212,PR ESOPHAGOSCOPY TRANSORAL STENT PLACEMENT,"$1,429.00",
1295,43215,PR ESOPHAGOSCOPY FLEXIBLE REMOVAL FOREIGN BODY,"$1,461.00",
1296,43220,PR ESOPHAGOSCOPY FLEX BALLOON DILAT <30 MM DIAM,"$1,233.00",
1297,43226,PR ESOPHAGOSCOPY FLEXIBLE GUIDE WIRE DILATION,"$1,096.00",
1298,43229,PR ESOPHAGOSCOPY FLEX TRANSORAL LESION ABLATION,"$1,497.00",
1299,43231,PR ESOPHAGOSCOPY FLEXIBLE TRANSORAL ULTRASOUND EXAM,"$1,211.00",
1300,43232,PR ESOPHAGOSCOPY INTRA/TRANSMURAL NEEDLE ASPIRAT/BX,"$1,592.00",
1301,43233,PR EGD ESOPHAGUS BALLOON DILATION 30 MM OR LARGER,"$1,713.00",
1302,43235,PR ESOPHAGOGASTRODUODENOSCOPY TRANSORAL DIAGNOSTIC,"$1,165.00",
1303,43236,PR ESOPHAGOGASTRODUODENOSCOPY SUBMUCOSAL INJECTION,"$1,931.00",
1304,43237,PR ESOPHAGOGASTRODUODENOSCOPY US SCOPE W/ADJ STRXRS,"$1,668.00",
1305,43238,PR EGD INTRMURAL US NEEDLE ASPIRATE/BIOPSY ESOPHAGS,"$1,555.00",
1306,43239,PR EGD TRANSORAL BIOPSY SINGLE/MULTIPLE,"$1,165.00",
1307,43240,PR EGD TRANSORAL TRANSMURAL DRAINAGE PSEUDOCYST,"$1,566.00",
1308,43241,PR EGD INTRALUMINAL TUBE/CATHETER INSERTION,"$1,279.00",
1309,43242,PR EGD INTRMURAL NEEDLE ASPIR/BIOP ALTERED ANATOMY,"$1,697.00",
1310,43243,PR EGD INJECTION SCLEROSIS ESOPHGL/GASTRIC VARICES,"$1,644.00",
1311,43244,PR EGD BAND LIGATION ESOPHGEAL/GASTRIC VARICES,"$1,590.00",
1312,43245,PR EGD DILATION GASTRIC/DUODENAL STRICTURE,"$1,370.00",
1313,43246,PR EGD PERCUTANEOUS PLACEMENT GASTROSTOMY TUBE,"$2,009.00",
1314,43247,PR EGD FLEXIBLE FOREIGN BODY REMOVAL,"$1,370.00",
1315,43248,PR EGD INSERT GUIDE WIRE DILATOR PASSAGE ESOPHAGUS,"$1,212.00",
1316,43249,PR EGD BALLOON DILATION ESOPHAGUS <30 MM DIAM,"$1,324.00",
1317,43250,PR EGD FLEX REMOVAL LESION(S) BY HOT BIOPSY FORCEPS,"$1,507.00",
1318,43251,PR EGD REMOVAL TUMOR POLYP/OTHER LESION SNARE TECH,"$1,507.00",
1319,43252,PR EGD FLEX TRANSORAL W/OPTICAL ENDOMICROSCOPY,"$1,234.00",
1320,43253,PR EGD US GUIDED TRANSMURAL INJXN/FIDUCIAL MARKER,"$1,979.00",
1321,43254,PR EGD TRANSORAL ENDOSCOPIC MUCOSAL RESECTION,"$2,064.00",
1322,43255,PR EGD TRANSORAL CONTROL BLEEDING ANY METHOD,"$1,598.00",
1323,43259,PR EDG US EXAM SURGICAL ALTER STOM DUODENUM/JEJUNUM,"$1,322.00",
1324,43260,PR ERCP DX COLLECTION SPECIMEN BRUSHING/WASHING,"$1,689.00",
1325,43261,PR ERCP W/BIOPSY SINGLE/MULTIPLE,"$1,964.00",
1326,43262,PR ERCP W/SPHINCTEROTOMY/PAPILLOTOMY,"$2,648.00",
1327,43264,PR ERCP REMOVE CALCULI/DEBRIS BILIARY/PANCREAS DUCT,"$2,876.00",
1328,43265,PR ERCP DESTRUCTION/LITHOTRIPSY CALCULI ANY METHOD,"$2,694.00",
1329,43266,PR EGD ENDOSCOPIC STENT PLACEMENT W/WIRE& DILATION,"$1,713.00",
1330,43270,PR EGD ABLATE TUMOR POLYP/LESION W/DILATION& WIRE,"$1,780.00",
1331,43273,PR ENDOSCOPIC PAPILLA CANNULATION BILE/PANCREATIC,$960.00,
1332,43274,PR ERCP STENT PLACEMENT BILIARY/PANCREATIC DUCT,"$3,586.00",
1333,43275,PR ERCP REMOVE FOREIGN BODY/STENT BILIARY/PANC DUCT,"$2,943.00",
1334,43276,PR ERCP BILIARY/PANC DUCT STENT EXCHANGE W/DIL&WIRE,"$3,738.00",
1335,43277,PR ERCP BALLOON DILATE BILIARY/PANC DUCT/AMPULLA EA,"$2,960.00",
1336,43278,PR ERCP TUMOR/POLYP/LESION ABLATION W/DILATION&WIRE,"$3,378.00",
1337,43280,"PR LAP,ESOPHAGOGAST FUNDOPLASTY","$6,845.00",
1338,43281,"PR LAP, REPAIR PARAESOPHAGEAL HERNIA, INCL FUNDOPLASTY W/O MESH","$11,399.00",
1339,43283,PR LAP ESOPHAGEAL LENGTHENING,"$1,203.00",
1340,43284,PR LAPS ESOPHGL SPHNCTR AGMNTJ PLMT DEV CRRPL,"$4,399.00",
1341,43287,PR ESOPHAGECTOMY DISTAL 2/3 W/LAPAROSCOPIC MOBLJ,"$28,344.00",
1342,43288,PR ESOPHAGECTOMY TOTAL NEAR TOTAL W/THRSC MOBLJ,"$29,837.00",
1343,43289,PB UNLISTED LAPAROSCOPIC PROCEDURE ESOPHAGUS ,$8308-$10346,
1344,43312,"PR REPAIR TRACHEOESOPHAGEAL FISTULA, THORACIC APPROACH","$9,818.00",
1345,43327,PR ESOPHAGOGASTRIC FUNDOPLASTY PARTIAL OR COMPLETE; LAPAROTOMY,"$5,443.00",
1346,43328,PR ESOPHAGOGASTRIC FUNDOPLASTY PARTIAL OR COMPLETE; THORACOTOMY,"$8,118.00",
1347,43332,"PR REPAIR PARAESOPHAGEAL HIATAL HERNIA,LAPAROTOMY, WO MESH","$8,000.00",
1348,43334,"PR REPAIR PARAESOPHAGEAL HIATAL HERNIA,THORACOTOMY, WO MESH","$9,019.00",
1349,43415,"PR SUTURE ESOPHAGUS WOUND,THOR APPRCH","$7,501.28",
1350,43420,"PR REPAIR ESOPHAGUS OPENING,CERV APPRCH","$4,310.00",
1351,43453,PR DILATION ESOPHAGUS GUIDE WIRE,"$1,260.00",
1352,43496,"PR FREE JEJUNUM XFER,MICROVASC ANAST","$11,119.00",
1353,43499,PB UNLISTED PROCEDURE ESOPHAGUS,$1553-$17024,
1354,43520,PR INCISION OF PYLORIC MUSCLE,"$3,789.00",
1355,43605,"PR BIOPSY OF STOMACH,BY LAPAROTOMY","$4,420.00",
1356,43610,"PR EXCIS STOMACH ULCER,LESN;LOCAL","$4,862.00",
1357,43611,PR EXCIS STOAMCH MALIG,"$6,919.00",
1358,43620,"PR REMOVAL STOMACH,TOTAL","$8,840.00",
1359,43621,"PR REMOVAL STOMACH,ROUX-EN-Y","$11,800.00",
1360,43631,"PR REMV STOMACH,PART,DISTAL,GASTRODUOD","$6,315.00",
1361,43632,"PR REMV STOMACH,PART,DISTAL,GASTROJEJUN","$7,090.00",
1362,43633,"PR REMV STOMACH,PART,DISTAL,ROUX-EN-Y","$8,752.00",
1363,43653,"PR LAP,GASTROSTOMY,W/O TUBE CONSTR","$3,852.00",
1364,43659,PB UNLISTED LAPAROSCOPIC PROCEDURE STOMACH ,$3852-$11800,
1365,43752,PR PLACEMENT NG/OG TUBE BY PHYSICIAN,$398.00,
1366,43760,PR CHANGE GASTROSTOMY TUBE PERCUTANEOUS W/O GUIDE,$557.45,
1367,43761,PR REPOSITION GASTRIC FEEDING TUBE THRU DUODENUM,$666.00,
1368,43774,"PR LAP, REMOVE ADJUST GAST RESTRICT DEVICE/PORT","$8,560.00",
1369,43800,PR RECONSTRUCTION OF PYLORUS,"$8,119.66",
1370,43820,PR GASTROJEJUNOSTOMY,"$6,364.00",
1371,43830,"PR GASTROSTOMY,OPEN,W/O TUBE CNSTR","$3,852.00",
1372,43840,PR REPAIR PERF DUOD/GAST ULC-WND/INJ,"$4,736.00",
1373,43860,"PR REVISE,GASTROJEJUN ANAST,W/O VAGOTOMY","$7,613.00",
1374,43870,"PR CLOSURE OF GASTROSTOMY,SURGICAL","$3,258.00",
1375,43887,"PR REMOVE GASTRIC PORT, OPEN","$1,653.00",
1376,43999,PB UNLISTED PROCEDURE STOMACH ,$1165-$6870,
1377,44005,"PR FREEING BOWEL ADHESION,ENTEROLYSIS","$4,422.00",
1378,44010,"PR DUODENOTOMY FOR EXPLOR,BX,FB REMOV","$4,738.00",
1379,44015,"PR INSERT TUBE-BOWEL,ENTERAL ALIMENT","$2,244.00",
1380,44020,"PR ENTEROTOMY,NON-DUOD,EXPLOR/BX/FB REMOVAL","$4,738.00",
1381,44021,PR ENTEROTOMY DECOMPRESS SMALL BOWEL,"$4,106.00",
1382,44050,"PR REDUCE VOLVULUS,INTUSS,INTERN HERNIA","$5,350.00",
1383,44055,PR CORRECT MALROTATION OF BOWEL,"$6,596.00",
1384,44110,"PR EXCIS BOWEL LESION(S),SINGLE ENTEROTOMY","$4,169.00",
1385,44111,"PR EXCIS BOWEL LESION(S),MULT ENTEROTOMIES","$6,317.00",
1386,44120,"PR RESECT SMALL INTEST,SINGL RESEC/ANAS","$5,812.00",
1387,44121,"PR RESECT SMALL INTEST,EACH ADDNL","$3,052.00",
1388,44125,PR RESECT SMALL INTEST W ENTEROSTOMY,"$6,128.00",
1389,44130,PR BOWEL TO BOWEL ANASTOMOSIS,"$6,713.00",
1390,44139,PR MOBILIZE SPLENIC FLEX,$862.00,
1391,44140,PR PART REMOVAL COLON W ANASTOMOSIS,"$6,317.00",
1392,44141,PR PART REMOVAL COLON W COLOSTOMY,"$6,798.00",
1393,44143,PR PART REMOVAL COLON W END COLOSTOMY,"$6,991.00",
1394,44144,PR PART REMOVAL COLON W OSTOMY/MUCOFIST,"$6,949.00",
1395,44145,PR PART REMOVAL COLON W COLOPROCTOSTOMY,"$7,440.00",
1396,44146,"PR PART REMOVAL COLON W COLOPROC,COLOST","$10,042.00",
1397,44147,"PR PART REMOVAL COLON,ABD/TRANSANAL APP","$9,159.00",
1398,44150,PR REMOVAL COLON/ILEOSTOMY,"$7,896.00",
1399,44155,PR REMOVAL COLON/PROCTECTOMY/ILEOSTOMY,"$10,107.00",
1400,44158,PR REMOVAL COLON/PROCTEC/ILEOANAL ANAST POUCH,"$17,671.79",
1401,44160,PR REMVL COLON & TERM ILEUM W/ILEOCOLOSTOMY,"$6,949.00",
1402,44180,"PR LAP, SURG ENTEROLYSIS","$6,179.00",
1403,44186,"PR LAP, SURG JEJUNOSTOMY","$4,425.00",
1404,44187,"PR LAP, SURG ILEO/JEJUNO-STOMY","$6,826.00",
1405,44188,"PR LAP, SURG COLOSTOMY","$7,546.00",
1406,44202,"PR LAP,SURG,ENTERECTOMY,RESECT & ANAST","$7,019.00",
1407,44203,"PR LAP,SURG,EA ADDL RESECT & ANAST","$2,906.00",
1408,44204,"PR LAP,SURG,COLECTOMY, PARTIAL, W/ANAST",$6317-$8212,
1409,44205,"PR LAP,SURG,COLECTOMY,W/REMVL TERM ILEUM",$6949-$9030,
1410,44206,"PR LAP,SURG,COLECTOMY,W/END COLOST & CLOSUR",$7323-$9520,
1411,44207,"PR LAP,SURG,COLECTOMY,W/ANAST",$7672-$9974,
1412,44208,"PR LAP,SURG,COLECTOMY,W/ANAST,W/COLOSTOMY",$8718-$13055,
1413,44210,"PR LAP,SURG,COLECTOMY,TOTAL,W/O PROCTECTOMY",$9235-$12006,
1414,44211,"PR LAP,SURG,COLECTOMY,TOTAL,W/PROCTECTOMY",$13600-$20352,
1415,44212,"PR LAP,SURG,COLECT,TOT,W/PROCTECT,W/ILEOST",$11158-$13200,
1416,44213,"PR LAP, SURG MOBIL SPLENIC FL DUR PTL COLECTOMY","$1,584.00",
1417,44238,"PR UNLISTED LAPAROSCOPY PROC,INTESTINE, LAPAROSCOPIC CORRECTION MALROTATION",$4169-$6596,
1418,44300,PR PLACEMENT ENTEROSTOMY/CECOSTOMY TUBE OPEN,"$3,370.00",
1419,44310,"PR ILEOSTOMY/JEJUNOSTOMY,NONTUBE","$4,357.00",
1420,44312,"PR REVISION OF ILEOSTOMY,SIMPLE","$2,593.00",
1421,44314,"PR REVISION OF ILEOSTOMY,COMPLICATED","$4,648.00",
1422,44320,PR COLOSTOMY,"$3,769.00",
1423,44340,"PR REVISION OF COLOSTOMY,SIMPLE","$2,039.96",
1424,44345,"PR REVISION OF COLOSTOMY,COMPLICATED","$4,305.00",
1425,44346,"PR REVIS COLOSTOMY,REPARACOLO HERNIA","$3,950.00",
1426,44360,PR ENDOSCOPY UPPER SMALL INTESTINE,"$1,627.00",
1427,44361,PR ENDOSCOPY UPPER SMALL INTESTINE W/BIOPSY,"$1,743.00",
1428,44363,PR ENTEROSCOPY > 2ND PRTN W/RMVL FOREIGN BODY,"$1,743.00",
1429,44364,PR ENTEROSCOPY > 2ND PRTN W/RMVL LESION SNARE,"$1,975.00",
1430,44366,PR ENTEROSCOPY > 2ND PRTN W/CONTROL BLEEDING,"$2,324.00",
1431,44369,PR ENTEROSCOPY > 2ND PRTN ABLTJ LESION,"$1,975.00",
1432,44370,PR ENTEROSCOPY > 2ND PRTN TNDSC STENT PLMT,"$2,000.00",
1433,44372,PR ENTEROSCOPY > 2ND PRTN W/PLMT PRQ TUBE,"$1,627.00",
1434,44373,PR ENTEROSCOPY > 2ND PRTN CONV GSTRST TUBE,"$1,627.00",
1435,44376,PR ENTEROSC >2ND PRTN W/ILEUM W/WO COLLJ SPEC SPX,"$1,801.00",
1436,44380,PR ILEOSCOPY THRU STOMA DX W/COLLJ SPEC WHEN PRFMD,"$1,278.00",
1437,44381,PR ILEOSCOPY STOMA W/BALLOON DILATION,"$1,341.00",
1438,44382,PR ILEOSCOPY STOMA W/BX SINGLE/MULTIPLE,"$1,685.00",
1439,44385,PR NDSC EVAL INTSTINAL POUCH DX W/COLLJ SPEC SPX,"$1,540.00",
1440,44386,PR NDSC EVAL INTSTINAL POUCH W/BX SINGLE/MULTIPLE,"$1,801.00",
1441,44388,PR COLONOSCOPY STOMA DX INCLUDING COLLJ SPEC SPX,"$1,831.00",
1442,44389,PR COLONOSCOPY STOMA W/BIOPSY SINGLE/MULTIPLE,"$2,033.00",
1443,44391,PR COLONOSCOPY STOMA CONTROL BLEEDING,"$2,789.00",
1444,44392,PR COLONOSCOPY STOMA RMVL LES BY HOT BIOPSY FORCEPS,"$2,382.00",
1445,44394,PR COLONOSCOPY STOMA W/RMVL TUM POLYP/OTH LES SNARE,"$2,502.00",
1446,44401,PR COLONOSCOPY STOMA ABLATION LESION,"$2,202.00",
1447,44403,PR COLONOSCOPY STOMA W/ENDOSCOPIC MUCOSAL RESCJ,"$2,289.00",
1448,44404,PR COLONOSCOPY STOMA W/SUBMUCOSAL INJECTION,"$1,349.00",
1449,44408,PR COLONOSCOPY THROUGH STOMA WITH DECOMPRESSION,"$2,181.00",
1450,44500,PR INTRODUCTION LONG GI TUBE SEPARATE PROCEDURE,$245.00,
1451,44602,"PR SUTURE SM INTEST,SINGLE PERF","$4,357.00",
1452,44603,"PR SUTURE SM INTEST,MULTPL PERF","$5,083.00",
