DESCRIPTION,CHARGE
"DILTIAZEM HCL INJ, 5MG/ML (25ML)",41
"DILTIAZEM HCL INJ, 5MG/ML (5ML)",16
DILTIAZEM HCL TAB 90MG,5
DILTIAZEM TAB 30MG,1
DIMENTHYDRINATE 50MG TAB,1
DINOPROSTONE 20MG VAG SUPP,"12,584"
"DINOPROSTONE VAG INSERT, 10MG","2,549"
DIPHENHYDRAMIN 2% CREAM 30GM,25
DIPHENHYDRAMINE CAP 50MG,0
"DIPHENHYDRAMINE CAP, 25MG",0
DIPHENHYDRAMINE CREAM 1% 30G,19
"DIPHENHYDRAMINE ELIX,25MG/10ML UD",1
"DIPHENHYDRAMINE HCL,@ 50MG,INJ",19
DIPHENOXYLATE/ATROP SULF TAB,5
"DIPHTH/TETANUS/AC.PERT-DTAP,< 7YR",146
DIPHTHERIA-TETANUS ADULT 0.5ML,222
"DIPYRIDAMOLE TAB, 25MG",6
"DIPYRIDAMOLE TAB, 50MG",10
DISC MOBI-C CERV 13X17 MB3375,"36,779"
DISC MOBI-C CERV 13X17 MB3376,"36,779"
DISC MOBI-C CERV 15X15 MB3555,"36,779"
DISC MOBI-C CERV 15X17 MB3576,"36,779"
DISC MOBI-C CERV 15X19 MB3595,"36,779"
DISC MOBI-C CERV 15X19 MB3596,"36,779"
DISC MOBI-C CERV 15X19 MB3597,"36,779"
"DISKOGRAPHY, LUMBAR, S & I","3,792"
DISOPYRAMIDE 100MG CAP SA,22
"DISOPYRAMIDE CAP,100MG",8
"DISOPYRAMIDE CAP,150MG",9
DISSECTOR BALL SPACEMAKER SMCYCST,"3,646"
DISSECTOR BALLOON SPCMKR SMBTTOVL,"3,268"
DISSECTOR MARYLANDDAVINCI428050,724
"DISSECTOR,ENDO,5MM (5DCD)",477
DIVALPROEX 250MG TAB EC,10
DIVALPROEX ER TAB 500MG,14
"DIVALPROEX ER TAB, 250MG",14
"DIVALPROEX SPRINKLE CAP, 125MG",4
DIVALPROEX TAB EC 125MG,5
"DIVALPROEX TAB EC, 500MG",8
"DNA/RNA, HPV,HIGH-RISK TYPES",814
"DNA/RNA,CANDIDA SPECIES,AMPLIF.PR",73
"DNA/RNA,HPV, 16&18 ONLY,INCL.45",814
"DOBUTAMINE HCL,PER 250MG,INJ(250)",39
"DOBUTAMINE-D5,@ 250 MG,INJ (250)",71
"DOBUTAMINE-D5,@ 250 MG,INJ (500)",50
"DOCETAXEL,PER 1 MG,INJ, (160 MG)",108
"DOCETAXEL,PER 1 MG,INJ, (20 MG)",23
"DOCUSATE CAP, 100 MG",1
"DOCUSATE LIQUID, 100MG/10ML",4
"DOFETILIDE CAP, 125 MCG",21
"DOFETILIDE CAP, 250MG",21
"DOFETILIDE CAP, 500MG",21
"DONEPEZIL TAB, 10MG",1
DONEPEZIL TAB. 5MG,1
DONNATAL TAB,53
DOPAMINE HCL @ 40 MG INJ (400),2
DOPAMINE HCL @ 40MG INJ(200-NICU),12
"DOPAMINE IN DEXTROSE 5% INF, 400M",11
DOPPLER GUIDED NEEDLE ASSEMBLIES,866
"DOPPLER,ECHOCARD-COLOR FLOW",881
"DORZOLAMIDE HCL DROP, 2% (5ML)",378
DOUBLE LUMEN (5FR) W/ CLAMPS,657
"DOXAZOSIN TAB, 1MG",21
"DOXAZOSIN TAB, 2MG",21
DOXEPIN 10MG CAP,4
DOXEPIN 25MG CAP,5
"DOXEPIN ORAL SOLN, 10MG/ML",1
DOXERCALCIFEROL @ 1 MCG INJ (4),21
"DOXERCALCIFEROL CAP, 0.5MG",97
"DOXERCALCIFEROL CAP, 2.5MCG",206
"DOXORUBICIN INJ, 10 MG (50MG TACE",331
DOXORUBICIN LIPOSOM.@ 10MG INJ(50,"3,626"
"DOXORUBICIN PFS INJ, 2MG/ML (25ML",30
"DOXORUBICIN PFS INJ, 2MG/ML (5ML)",62
"DOXYCYCLINE CAP, 100MG",23
"DR.SCR-OPIOIDS&OPIATE ANALOGS,1-2",465
DRAIN BL W/CATH INSERTION,"5,537"
DRAIN BLADDER BY NEEDLE,308
DRAIN BLAKE 10MM 2213,127
DRAIN BLAKE 24FR,117
DRAIN EXTERNAL EAR LESION,346
DRAIN PELVIC ABSCESS,"4,933"
DRAIN/INJECT JOINT/BURSA-INTERMED,916
DRAIN/INJECT JOINT/BURSA-MAJOR,"1,973"
"DRAINAGE CATHETER, ALL",729
"DRAINAGE KIT, ALL","1,507"
DRAINAGE OF FINGER ABSCESS,999
DRAINAGE OF GLAND ABSCESS,"1,874"
DRAINAGE OF GUM LESION,946
DRAINAGE OF HEMATOMA/FLUID,"2,592"
DRAINAGE OF PILONIDAL CYST,"1,007"
DRAINAGE OF SKIN ABSCESS COMPLEX,777
DRAINAGE OF SKIN ABSCESS SIMPLE,686
DRAINAGE OF TONSIL ABSCESS,"3,563"
DRAINAGE UNIT CHEST PLUER EVAC,139
DRAINAGE UNIT CHEST PLUER EVAC,129
DRAPE WARMER SCOPE PILLOW ORS400,321
"DRESS/DEBRID P-THICK BURN, M",735
"DRESS/DEBRID P-THICK BURN, S",735
DRESSING ABDOMIN 17X17 TEMP XTAC,"1,879"
DRESSING ABTHERAW/VISCERAL370605S,"2,326"
DRESSING AQUACEL 9X30CM 420670,186
DRESSING AQUACEL 9X35 412012,174
DRESSING AQUACEL9X15CM 412010,124
DRESSING AQUACEL9X25CM 412011,186
DRESSING CHANGE KIT,20
DRESSING COMP CRYOCUFF KNEELRG11B,356
DRESSING COMP CRYOCUFF KNEEMED11A,356
DRESSING KIT FOAM RENASYS66020796,302
DRESSING KIT MED RENASYS 66020795,213
DRESSING KIT SM RENASYSF 66020794,169
DRESSING MEROCEL NASAL 440410,"1,273"
DRESSING VAC INFO LARGE GRANUFOAM,354
DRESSING VAC INFO MEDIUM GRANUFOA,293
DRESSING VAC INFO SMALL GRANUFOAM,233
DRESSINGNASOPORE4CMFIRM5400020004,488
DRILL 1.5X115 SGLUSE 254691107,744
DRILL 2.0MM QCK REL 800318,443
DRILL 2.6X122MM WL 70MM 4535010,407
DRILL 2.8MM QCK REL 800387,609
DRILL 3.2X200MM 50852032,511
DRILL 4MM SCREWS0.9X46MM6009504,764
DRILL 5.0/340MM,908
DRILL APEX PIN 2.2X100MM 50851222,506
DRILL ASNIS2.1MM SGLEUSE 4530005S,"1,041"
DRILL BIT 1.7MM AR891614,461
DRILL BIT 2.0MM WITHDEPTH MARKING,"1,502"
DRILL BIT 2.4MM VERTEX MAX RECON,"2,293"
DRILL BIT 2.5 AR873709,876
DRILL BIT 2.5/110MM QUICK COUPLE,373
DRILL BIT 2.5MM FOR 3 (48560323),"1,986"
DRILL BIT 2.5MM L230MM,894
DRILL BIT 2.8MM (324.214),"1,061"
DRILL BIT 24MM,482
DRILL BIT 2X102MM WL50MM 4527010,339
DRILL BIT 3 FLUTED 330MM X 4.2MM,"1,196"
DRILL BIT 3.1MM L204MM,377
DRILL BIT 3.2,894
DRILL BIT 3.5MM,894
DRILL BIT 3.5MM DEPUY,894
DRILL BIT 3.5X130MM,908
DRILL BIT 4.3MM (310.431),642
DRILL BIT 4X200MM 50852040,523
DRILL BIT ASNIS 1.7MM 4520005S,"1,044"
DRILL BIT ASNISLLL 5MM 702447,"1,608"
DRILL BIT CANN 3.0 AR894530C,584
DRILL BIT CANN 4.0 AR896740C,876
DRILL BIT CANNULATED 3.5MM(702450,"1,004"
DRILL BIT DISP 2.5MM LONG DWD063,729
DRILL BIT QUICK COUP 2.8MM/165MM,622
DRILL BIT QUICK COUPLING 3.5MM,373
DRILL BIT T2 3.5X230MM AO,908
DRILL BIT VAR 2.8X102MM 4527020,436
DRILL BIT4.2 TIBIAL (03.010.104),983
DRILL BONE GRAFT 10MM DISPBG8020S,"2,342"
DRILL BONE GRAFT 8MM DISPBG8010S,"2,342"
DRILL CALIBRATED 4.8 11021A,732
DRILL CANN 3.0MM 705357,"1,401"
DRILL CANN 3.5 AR8956C35PD,"1,022"
DRILL CANN HEAD 4.3 44112011,"1,645"
DRILL CANN POLYAX 2.0 DRLLPLS20,508
DRILL CANNULATED 2.7MM,"1,004"
DRILL MICRO DRILL,"1,256"
DRILL PHALINX CANN 2.45MM 05610,"1,315"
DRILL PHALINXNONCANN2.45 45303145,"1,594"
DRILL PHALINXNONCANN2.55 45303155,"1,594"
DRILL PIN ACL 4MM AR1595TC,715
DRILL PIN ACL TIGHTROPE AR1595T,730
DRILL TWIST 1.5X50 2544907,744
DRILL TWIST 1.7MM 72203855,"1,146"
DRILL TWIST 1.9MM 72203856,"1,146"
DRILL TWIST 1.9X27MM 6019326,393
DRILL TWIST 1.9X70 254601907,566
DRILL TWIST 12MM 1001112,"1,284"
DRILL TWIST 2.2X50 010220107,871
DRILL TWIST 2X41X105MM 6020385,339
DRILL TWIST BIT 1.6X127 72204438,351
DRILL VALOR NAIL 415S002350,"1,600"
DRILL XIA 5.0MM 48856450,"2,207"
DRILL XIA CORT 5MM 48856455,"2,207"
DRIVE SHAFT SEAL 351718S,134
DRIVER CONN GEMINUS 2.0DRVRASS20,433
DRIVER NEEDLE ENDOWRIST DA VINCIS,"1,284"
DRIVER NEEDLE SUTURE CUT1.4X54CM,"1,401"
DRIVER UNIV QUICK CONN DRVRVQCT10,508
DRONABINOL 2.5MG CAP,30
"DRONEDARONE TAB, 400MG",26
DRUG ADMIN HEMODYNMIC MEAS,"3,594"
DRUG ELUTING STENT EACH,"16,992"
DRUG SCREEN QNT-ALCOHOLS,252
"DRUG SCREEN QNT-ALKALOIDS, NOS",251
"DRUG SCREEN,QUANT,LEVETIRACETUM",85
"DRUG SCREEN,QUANT,OXCARBAZEPIN",85
"DRUG SCREEN-AMPHETAMINES,1-2","1,299"
"DRUG SCREEN-ANABOLIC STEROIDS,1-2",251
DRUG SCREEN-BARBITURATES,324
"DRUG SCREEN-BENZODIAZEPINES,1-12",251
DRUG SCREEN-BUPRENORPHINE,465
"DRUG SCREEN-CANNABINOIDS,NATURAL",251
DRUG SCREEN-COCAINE,465
"DRUG SCREEN-OPIATES, 1 OR MORE",465
DRUG TEST PRESUM.-CHEM.ANALZR-DOS,251
"DULOXETINE CAP, 20MG",34
"DULOXETINE CAP, 30MG",44
"DULOXETINE CAP, 60MG",34
"DUONEB INH SOLN, 2.5-0.5/3ML",13
DUP SCAN EXT VEINS COMP BILATERAL,"2,755"
DUP SCAN EXT VEINS LTD,"2,182"
DUPLEX ABD/PELV ART COMP,"4,116"
DUPLEX ABD/PELVIS LTD,"2,288"
DUPLEX ARM/ART F/U LTD,"1,070"
DUPLEX LEG/ART F/U LTD,"1,940"
DURAGEN 3X3 DURAL GRAFT MATRIX,"4,864"
DURAGEN 4X5 DURAL GRAFT MATRIX,"8,177"
DURAGUARD PATCH 4CMX4CM,"1,380"
DURAGUARD PATCH 6CMX 8CM,"2,249"
DURAGUARD PATCH 8CM X (DG-0814SN),"2,936"
DURASEAL DURAL SEALANT SYSTEM 5ML,"4,275"
"DURVALUMAB PER 10MG, INJ (500 MG)",473
"DUTASTERIDE CAP, 0.5MG",34
"DXA BONE DENSITY,AXIAL",789
"DXA BONE DENSITY,PERIPHERAL",234
"DYAZIDE CAP, 37.5/25",2
DYSPHAGIA TREATMENT 1 UNIT,316
DYSPHAGIA TREATMENT 2 UNITS,461
DYSPHAGIA TREATMENT 3 UNITS,674
EAR CULTURE,204
EBNA,360
ECG RECORDING,266
ECHOGRAPH PELVIC B-SCAN,"1,070"
ECHOGRAPH PELVIC LIMITED/AFI,"1,213"
EDUCATION OCCUPATIONAL THERAPY,235
EDUCATION PHYSICAL THERAPY,235
EEG RECORDING AWAKE AND ASLEEP,"1,147"
EEG W/ HYPER VENT & PHOTIC STIM,"1,545"
EFAVIRENZ CAP 200MG,73
EFAVIRENZ TAB 600MG,218
EGD-ABLATION (INCL. DIL/GWIRE),"7,177"
"EGD-DIAGNOSTIC,W/, W/O WASH/BRUSH","4,205"
EGD-ENDOSCOPIC MUCOSAL RESECTION,"6,511"
"EGD-ESOPH.BALLOON DILATION,< 30MM","7,616"
"EGD-EUS EXAM LMTD-ESOPH,STOM,DUOD","2,880"
"EGD-EUS EXAM-ESOPH/STOM&DUOD,JEJU","5,383"
"EGD-EUS FNA/BX-ESO/STOM&DUOD,JEJU","5,130"
"EGD-EUS FNA/BX-ESOPH,STOM,DUOD","3,569"
EGD-HOT BIOPSY REM.-TUM/POL/LES,"7,977"
EGD-INJ.SCLEROSIS-ESOP/GASTR.VAR.,"7,169"
EGD-INSERT GWIRE W/DILATOR(SAVORY,"4,205"
EGD-SNARE REMOVAL-TUM/POL/LES,"8,134"
EGD-STENT PLACE.(INCL.DIL/GWIRE),"9,744"
EGD-W/ PEG TUBE PLACEMENT,"5,361"
EGD-W/BAND LIGAT-ESOPH/GASTR.VAR.,"5,667"
"EGD-W/BIOPSY, SINGLE/MULTIPLE","7,096"
"EGD-W/CONTROL BLEEDING,ANY METHOD","8,379"
EGD-W/DILATION GASTR/DUOD STRICT,"5,362"
EGD-W/FOREIGN BODY REMOVAL,"2,462"
EGD-W/INTRALUM.TUBE/CATH PLACE(NG,"10,636"
"EGD-W/SUBMUCOSAL INJ(S),ANY SUB","4,777"
EGD-W/TRANSMURAL DRAINAGE CYST,"7,844"
EHC BLS EMERGENCY TRANSPORT,"1,317"
EKG(INCL RHYTHM STRIP),208
ELBOW-2 VIEWS,529
ELBOW-3 VIEWS,680
ELCTRODE BLADE 11MMX10FT607510005,194
ELEC BUTTON VAPOR 12+30D WA22557C,"2,632"
ELEC LOOP TUR 24FR 30DEG WA22306D,"2,632"
ELEC LOOP VAP 24FR 12DEG WA22302D,"2,632"
ELECTR LOOP CUT 22FR30D 504990314,757
ELECTRIC STIMULATION,135
ELECTRODE 2FRX105CM BE208,540
ELECTRODE 3FRX105CM BE302,540
ELECTRODE BLADE PEAK PLASMABLADE,"1,770"
ELECTRODE BUGBEE 5 FR 58 (BE-558),292
ELECTRODE CONE BIOPSY LRG 900152,120
ELECTRODE HOOK 5MM/34CM,200
ELECTRODE KNIFE RESECT 24FR KE24,"3,401"
ELECTRODE LOOP CUT 26FR MLE26012,351
ELECTRODE LOOP CUTTING 24F 0.012,351
ELECTRODE VAPOR S90 (225370),973
ELECTRODE VAPR 3.5MM DISP225303,"1,165"
ELECTRODE VAPR 90 DEGREE (225305),842
ELECTROLYTE PANEL,125
"ELECTRON MICRO, REF LAB","1,107"
ELECTROPHORESIS HEMOGLOB,301
ELECTROPHORESIS PROTEIN URINE,251
"ELOTUZUMAB, PER 1MG,INJ (300 NF)",42
EMBLEM SUB Q-ICD ELECTRODE #3401,"49,000"
"EMBOLIC PROTEC DEVICE,CORDIS","14,178"
"EMBOLIC PROTECTION SYS,RX ABBOTT","11,909"
EMBOLIZATION EXTRACRAN EXAM,"10,526"
EMBOLIZATION PARTICLES/COILS,"1,445"
ENALAPRIL 10MG TAB,1
ENALAPRIL 5MG TAB,0
ENALAPRIL TAB 2.5MG,8
ENALAPRILAT INJ 2.5MG/2ML,32
"ENALAPRILAT INJ, 1.25MG/ML",13
END CAP BLUE,156
END CAP FIBULOCK FIB6000,701
END CAP T2 SCN,885
ENDCAP 12MM SM RND 33661200SR,"2,235"
ENDCAP 12MM SM RND 5D 33661205SR,"2,235"
ENDCAP LOCK ORTHO 11190010,"2,032"
ENDO EMERGENCY OVERFLOW,"5,062"
ENDO GIA RELOAD 60MM EGIATRS60AMT,"2,679"
ENDOBUTTON 15MM 72200146,"1,633"
ENDOBUTTON 4MMX12MM 013186,966
ENDOBUTTON CLOSED LOOP (CL)20MM7,"1,633"
ENDOBUTTON PAC CL,"1,747"
ENDOCATCH POUCH 15MM ECATCH15,"1,494"
"ENDOCLIP,ENDO,MED/LGE,ER320",640
ENDOCLOSE TROCAR SITE CLOSURE DEV,361
ENDOCUTTER 45MM FLEX ATIC (ATS45),"1,464"
"ENDO-HYDRATE IV INFUSION, ADD ON",205
"ENDO-HYDRATION IV INFUSION,INIT.",490
ENDOPR 12FR 18MMX9.5 LEGPLC181000,"25,783"
ENDOPR 18FR 16X11.5 LEG PLC161200,"25,783"
ENDOPROS 12FR 27X10 LEG PLC271000,"25,783"
ENDOPROS 14FR 23X14 LEG PLC231400,"25,540"
ENDOPROS 27X14 LEG PLC271400,"25,540"
ENDOPROS AAA 27X12 PLC271200,"24,792"
ENDOPROS AAA 32X4.5 EXT PLA320400,"17,379"
ENDOPROS AAA 8X11.5 LEG PLC181200,"24,792"
ENDOPROS AAA EXCLUD12X7HGB161207A,"17,858"
ENDOPROS AAA16X13.5 LEG PLC161400,"24,792"
ENDOPROS AAAEXCLUD20X9.5PLC201000,"24,792"
ENDOPROS AAAEXCLUD23X10 PLC231000,"24,792"
ENDOPROS CONTRALATERAL LEG DEVICE,"25,044"
ENDOPROS EXC EXT16X12X7 PLL161207,"17,858"
ENDOPROS EXCL 14.5/14MM PXC141400,"25,044"
ENDOPROS EXCL18X13.5LEG PLC181400,"25,540"
ENDOPROS EXCLUD 14.5X10 PXC141000,"25,788"
ENDOPROS EXCLUD 14.5X12 PXC141200,"25,044"
ENDOPROS EXCLUDER28X3.3 PLA280300,"17,858"
ENDOPROS EXT 16X10X7 PLL161007,"17,858"
ENDOPROS FEM8X5X120 7FR VBJ080502,"18,110"
ENDOPROS ILLIAC BR12X10CEB231210A,"62,759"
ENDOPROS ILLIAC14.5X7HGN161407A,"17,514"
ENDOPROS VIAB 7X79 BXA077902A,"20,007"
ENDOPROS VIABAHN 9X79 BXA097901A,"20,019"
ENDOPROS31X13X14.5 TRNK RLT311413,"64,751"
ENDOPROS35X14.5X14 TRUNKRLT351414,"64,751"
ENDOPROST 26X12MMX16CM PXT261216,"54,233"
ENDOPROSTH TRUNK 26X14.5PLC261412,"54,233"
ENDOPROSTHESIS 12MM X (PXC121400),"25,044"
ENDOPROSTHESIS CONTRALATERAL LEG,"25,044"
ENDOPROSTHESIS EXCLUDER 26MM/14.5,"25,044"
ENDOPROTHESIS TRUNK,"54,233"
ENDO-RECOVERY 1ST HOUR,364
ENDOSHEARS (5DCS),464
ENDOSTITCH 0 48 SURGIDAC,315
ENDOSTITCH 10 MM SUTURIN (173016),"1,581"
ENDOSTITCH 2-0 7IN SILK SU 170002,305
"ENDO-THER/PROPH/DIAG INJ, SC/IM",153
ENDO-THER/PROPH/DIAG IV INF ADDON,220
"ENDO-THER/PROPH/DIAG IV INF,INIT.",590
ENDO-TX/PRO/DX INJ NEW DRUG ADDON,245
ENDO-TX/PRO/DX INJ SAME DRUG ADDON,199
ENDO-TX/PROPH/DG ADDL SEQ IV INFUSION,261
ENDOVAGINAL ULTRASOUND,955
ENDOVAS RPR AAA SUPERVIS INTERP,"1,664"
ENDOVASC TEMPORARY VESSEL OCCL,"15,373"
"ENOXAPARIN SOD.@ 10MG,INJ (100/1)",46
"ENOXAPARIN SOD.@ 10MG,INJ (150/1)",14
"ENOXAPARIN SOD.@ 10MG,INJ (30/.3)",14
"ENOXAPARIN SOD.@ 10MG,INJ (40/.4)",13
"ENOXAPARIN SOD.@ 10MG,INJ (60/.6)",14
"ENOXAPARIN SOD.@ 10MG,INJ (80/.8)",46
"ENOXAPARIN SOD.@ 10MG,INJ(120/.8)",122
ENSEAL LRG JAW SEALER NSLX120C,"3,096"
"ENTACAPONE, 200 MG, TAB",52
ENVEL ANTIBAC TYRX/PACE CMRM6122,"5,809"
ENVIRONMENT CULTURE,204
EP & ABLATE SUPRAVENT ARRHYT-8246,"27,602"
EP & ABLATE VENTRIC TACHY-8246,"27,602"
EP-CARDIOPULMONARY RESUSCITATION-CPR,987
EP-FLOUROSCOPY,153
"EPHEDRINE INJ, 50MG/ML",216
"EPHEDRINE PREFILLED SYR,50MG/5ML",60
"EPINEPHRINE INHAL SOLN, 2.25% 15M",106
EPINEPHRINE INJ 0.3MG / 0.3ML SYR,354
EPINEPHRINE INJ 1-1000 30ML,3
"EPINEPHRINE INJ, 1-10,000 (ABBOJE",3
"EPINEPHRINE INJ, 1-1000",10
EPINEPHRINE TOP SOLN 1-000 (30ML),690
"EPINEPHRINE,0.1 MG (PENJR .15 MG)",708
"EPLERENONE TAB, 25MG",56
"EPOETIN EPOGEN >10,000U",175
"EPOETIN INJ 2,000U (PROCRIT)",175
"EPOETIN INJ, 10,000U (EPOGEN)",175
EP-THER/PROPH/DIAG IV INF INITIAL,549
"EPTIFIBATIDE, PER 5 MG, INJ (2MG)",280
"EPTIFIBATIDE, PER 5 MG,INJ(.75MG)",233
EP-VASCULAR CLOSURE DEVICE,"2,115"
ER VISIT - LEVEL 1,722
ER VISIT - LEVEL 2,"1,423"
ER VISIT - LEVEL 3,"2,149"
ER VISIT - LEVEL 4,"2,675"
ER VISIT - LEVEL 5,"3,205"
ER-ABD PARACENTESIS W/O IMAG GUID,"2,244"
ER-ACTIVE WOUND CARE/20 CM OR<,350
ER-BLOOD TRANSFUSION SERVICE,"2,798"
ER-CARDIOPULMONARY RESUSCITATION-CPR,"1,210"
ERCP BILE DUCTS,"1,648"
ERCP PANCREAS DUCTS,"1,648"
"ERCP-BALL.DILAT-AMP,B/P DUCTS,EA","13,174"
"ERCP-DIAGNOSTIC,W/,W/O WASH/BRUSH","8,803"
ERCP-REM.FB/STENT-BIL/PANC DUCTS,"17,565"
"ERCP-REPLACE STENT(S),(W/DIL/GWIR","20,556"
ERCP-STENT PLACE-DUCT(+DIL/GDWR),"16,121"
"ERCP-W/BIOPSY, SINGLE/MULTIPLE","11,837"
ERCP-W/CANN.PAPILLA-DIR.VIS.DUCTS,"9,615"
"ERCP-W/DESTRUCT,ANY METHOD(LITHO)","12,982"
ERCP-W/SPHINCTEROTOMY/PAPILLOTOMY,"15,621"
ERCP-W/STONE/DEBRIS REMOV-BIL/PAN,"12,642"
"ER-DRAINAGE SKIN ABCESS, COMPLEX","1,009"
"ER-DRAINAGE SKIN ABCESS, SIMPLE",999
ER-DRAINAGE UNIT CHEST PLUER EVAC,764
"ERGOCALCIFEROL 50,000U CAP",9
"ERGOCALCIFEROL LIQUID,8000 INTER",9
"ERIBULIN,INJ,PER 0.1MG (1MG VIAL)",673
"ER-INJ ANESTH, OTHER PERIPHERAL NERV","1,882"
ER-INSERT PICC CATH W/O PORT > 5 YRS,"2,044"
"ER-LARYNGOSCOPY, DIAGNOSTIC",346
"ER-LARYNGOSCOPY,FLEX FIBEROPTIC,DIAG",327
ERLICHIOSIS TITER,307
ER-NA W/O IMAGE,480
ER-PUNCTURE DRAINAGE OF LESION,"1,007"
"ER-SPINAL FLUID TAP,DIAGNOSTIC","1,414"
"ERTAPENEM,@ 500MG, INJECTION(1GM)",425
ER-THER/DIAG CONCURRENT INFUS,210
ERTHROPOIETIN,444
"ERYTHROMYCIN BASE TAB, 250MG",11
"ERYTHROMYCIN ES SUSP, 200MG/5ML",128
ERYTHROMYCIN LACTOBIO.@ 500MG INJ,485
"ERYTHROMYCIN OPHTH OINT,0.5% (3.5",108
"ERYTHROMYCIN OPTH OINT, 0.5% 1GM",11
ERYTHROMYCIN SUSP 250MG/5ML,4
"ESMOLOL 2500MG IN NSS 250ML, INF","1,728"
"ESMOLOL INJ, 10MG/ML 10ML",50
"ESOMEPRAZOLE CAP, 40MG",52
"ESOMEPRAZOLE ORAL SUSP, 10 MG",61
"ESOMEPRAZOLE ORAL SUSP, 40 MG",61
ESOPHAGEAL CAPSULE ENDOSCOPY,"1,576"
ESOPHAGUS,"1,135"
"ESOPH-BALLOON DILATION,<30MM DIAM","2,855"
"ESOPH-DIAG, W/ OR W/O WASH/BRUSH","3,868"
ESOPH-STENT INSERT(INCL.DIL/GWIRE,"27,302"
ESOPH-TRANSEND.U/S-FN ASPIR/BIOPS,"10,876"
ESOPH-W/ ENDOSCOPIC U/S EXAM,"3,840"
"ESOPH-W/BIOPSY, SINGLE/MULTIPLE","8,348"
ESOPH-W/FOREIGN BODY REMOVAL,"7,269"
ESTAB PT LEVEL 1,128
ESTAB PT LEVEL 2,166
ESTAB PT LEVEL 3,196
ESTAB PT LEVEL 4,255
ESTAB PT LEVEL 5,321
ESTRADIOL 0.05MG PATCH,96
ESTRADIOL PATCH 0.1MG/24HR,77
ESTRADIOL SERUM,655
"ESTRADIOL TAB, 1MG",4
"ESTRIOL, SERUM",566
ESTROGEN CONJUGATED @ 25 MG INJ,"2,018"
"ESTROGENS,CONJ 0.3MG TAB",36
"ESTROGENS,CONJ VAG CR .0625% (42.",955
"ESTROGENS,CONJUGATED TAB,0.625MG",36
ESTRONE,583
"ETHACRYNATE SODIUM INJ, 50MG","23,425"
"ETHACRYNIC ACID TAB, 25 MG",137
"ETHAMBUTOL TAB, 400MG",5
"ETHANOLAMINE,@ 100MG, INJ(100 5%)","2,906"
ETHYL GLYCOL,279
"ETIDRONATE TAB, 200MG",24
"ETOMIDAE INJ, 2MG/1ML",42
"ETOPOSIDE INJ, 20MG/ML 5ML",6
EUCERIN CREAM (120GM),27
EUCERIN CREAM 60GM,32
EVACUATION SUBUNGUAL HEMATOMA,344
EVALUATE SPEECH SOUND PRODUCTION,583
EVALUATION OF SPEECH FLUENCY,583
"EVENT RECORDER, IMPLANT","11,344"
"EVENT RECORDER, IMPLANT DEVICE","33,306"
"EVENT RECORDER, REMOVAL","7,563"
EVEROLIMUS DRUG ASSAY,115
EVICEL 2ML KIT *** REFRIGERATED I,"1,412"
EVICEL FIBRIN SEALANT 5ML KIT **,"3,248"
EXC ABD TUM 5CM OR LESS,400
EXCH.BILIARY DRAIN.CATH.-COMPLETE,"5,287"
EXCH.NEPHROSTOMY CATH.-COMPLETE,"9,500"
EXCHANGE DRAINAGE CATH-RAD.GUID.,"2,900"
"EXCISION OF NAIL FOLD, TOE",808
"EXCISION,LESION DIAMETER 0.6-1.0",680
EXCISOR BIOPSY 12X15MM 900151,134
EXCISOR BIOPSY SM 9X12 900151,125
EXCLUDER CONTRALATERAL LIMB,"25,044"
EXERCISE W/HEMODYNAMIC MEAS,"13,823"
EXHALED CARBON DIOXIDE TEST,342
EXPANDER TIS SILTEX 350ML 3548312,"8,874"
EXPANDER TISSUE 200-400 SHRLR200S,"3,123"
EXPANDER TISSUE 350ML 3549312,"8,465"
EXPANDER TISSUE 450ML 3549313,"8,465"
"EXPLORE WOUND,ABDOMEN","5,572"
"EXPLORE WOUND,EXTREMITY","2,311"
EXT LOWER INFANT 2 VIEWS,225
EXT STEM NEX 14X100MM00598801014,"6,347"
EXT STEM NEXGEN15X30MM00598801215,"6,347"
EXT STEM TRIATH 21X100MM5565S021,"6,200"
EXT STEM TRIATH22X100 5565S022,"5,811"
EXT STEM13X30MM TIB CEM 866401,"4,114"
EXT TIP DRIVE DISP 120 423838,"5,137"
"EXT UPPER,INFANT 2 VIEWS",243
EXTENDER STEM TRIATH (5571-S-050),"5,431"
EXTENDER STEM TRIATH25MM 5571S025,"5,431"
EXTRACT ALEXIS SYST 14CM GTG114,"4,816"
EXTRACTOR STN1.7FR115CMX8MMG48294,"1,463"
EXTRACTOR STONE10FR 38X2CM G32862,768
EXTREMITY STUDY SINGLE LEVEL,991
EYE FOR FOREIGN BODY,505
EZETIMIDE TAB 10MG,75
F/U FETAL ECHOCARD,667
F5 GENE,103
FACIAL BONES 2 VIEWS,240
FACIAL BONES 3 VIEWS,417
FACTOR 8 ANTIGEN,544
FACTOR II ASSAY,308
FACTOR IX ASSAY,447
"FACTOR IX COMPLEX, 1000 UNITS",5
FACTOR V ASSAY,417
FACTOR VII ASSAY,427
FACTOR VIII ANTIHEMOPHILIC 250 UN,7
FACTOR VIII ASSAY,422
FACTOR VIII RECOMB 1000 UN,9
FACTOR VIII RECOMB 2000 UN,9
FACTOR X ASSAY,423
FACTOR XI ASSAY,419
"FAMCICLOVIR TAB, 250MG",37
"FAMCICLOVIR TAB, 500MG",16
